타임스탬프,교복 단어,성별,학년,교복 착용,입는 이유,안 입는 이유,디자인이 별로인 것,교복 필요성,필요 이유,불필요 이유,입기 싫은 요일,사복 착용
2023. 10. 26 오후 4:45:40,싫어,여,3학년,아니오,,사복이 편해요,,필요하지 않다고 생각합니다,,,금,네
2023. 10. 26 오후 4:46:33,불폄,여,1학년,아니오,,불편합니다,치마,필요하다고 생각합니다,교복은 팔요해요,,금,네
2023. 10. 26 오후 4:46:45,학교,남,1학년,네,기타,,,필요하다고 생각합니다,교복 입는게 불편하긴해도 좋습니다,,없다,아니오
2023. 10. 26 오후 4:47:27,학생,여,1학년,네,디자인이 예쁘죠,사복이 편해요,와이셔츠,필요하다고 생각합니다,학생이니까,필요하지 왜 안필요해여,금,네
2023. 10. 26 오후 4:50:16,학생,여,1학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,,,금,네
2023. 10. 26 오후 4:53:21,죄복,여,1학년,아니오,,귀찮습니다,와이셔츠,필요하지 않다고 생각합니다,,,월,네
2023. 10. 26 오후 4:55:49,예쁘다,남,2학년,아니오,,사복이 편해요,,필요하지 않다고 생각합니다,,입기가 불편해서,금,아니오
2023. 10. 26 오후 4:58:29,옷,남,2학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,학생 구분,,없다,아니오
2023. 10. 26 오후 5:02:08,먼지,여,1학년,네,학교에서 입으라고 합니다,,조끼,필요하다고 생각합니다,소속성과 학교 밖으로 나갔을 때 학생임을 증명하기 위해선 필요하다고 생각합니다,,없다,아니오
2023. 10. 26 오후 5:19:44,단정,여,1학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,우리 학교 학생인지 알아 보기 위해서,,금,아니오
2023. 10. 26 오후 5:21:59,학생,여,1학년,아니오,,사복이 편해요,치마,필요하지 않다고 생각합니다,,,금,네
